Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
30,8i,Iron,04/15/2025 03:04:57,107.4,0.3,20.6,6153,279,6159,147.2,158.7,4.5,29.9,47.2,82.1,82.8,1.32,-5.4,0.2,0.8,1.6,28.6,10,-13,2079.4
31,8i,Iron,04/15/2025 03:05:19,109.6,0.2,21.4,5940,0,5940,150.3,161.8,0.6,31.9,48.2,82.5,82.8,1.33,-4.1,0.3,0.0,0.5,29.0,1,-12,2292.4
32,8i,Iron,04/15/2025 03:05:53,94.0,7.4,20.4,6328,2608,6844,120.6,131.3,39.5,20.7,42.3,82.1,80.5,1.16,-4.9,0.6,3.9,1.3,31.0,21,-19,1974.2
33,8i,Iron,04/15/2025 03:06:13,102.9,-0.4,16.4,5628,492,5649,137.3,149.5,5.0,20.3,39.5,81.3,80.5,1.26,-5.0,0.5,-0.4,1.5,28.1,9,-24,2333.6
34,8i,Iron,04/15/2025 03:06:32,102.9,-0.1,17.3,5824,50,5824,140.0,151.7,0.5,22.4,41.5,81.3,80.5,1.27,-6.0,1.4,-0.3,1.2,26.3,9,-20,2173.8
35,8i,Iron,04/15/2025 03:06:53,107.4,0.3,20.6,5862,-173,5865,146.7,158.4,-1.6,29.2,46.7,82.5,82.8,1.3,-4.9,1.0,0.6,1.9,28.8,15,-11,2046.2
36,8i,Iron,04/15/2025 03:07:14,100.7,-1.5,18.6,4908,-812,4975,135.9,148.6,-14.9,21.6,40.7,80.6,80.5,1.24,-4.3,0.8,-3.1,0.8,27.7,5,2,2311.5
37,6i,Iron,04/15/2025 03:07:52,118.6,1.9,17.0,4399,61,4399,172.3,187.4,7.5,29.3,43.8,83.3,85.0,1.42,-4.2,0.8,1.7,1.7,21.7,-4,-7,2141.4
38,6i,Iron,04/15/2025 03:08:15,116.3,3.3,18.4,4841,818,4910,166.0,180.1,26.2,30.6,45.6,83.1,82.8,1.4,-3.4,1.3,3.7,1.6,23.6,4,-11,2312.1
39,6i,Iron,04/15/2025 03:08:36,116.3,3.9,17.4,4895,828,4965,167.0,180.9,28.4,29.3,44.7,84.7,85.0,1.38,-5.1,0.6,4.5,1.8,22.2,4,-13,2093.0
40,6i,Iron,04/15/2025 03:09:07,120.8,0.6,14.8,3848,-568,3890,180.8,196.5,-12.2,26.5,40.6,85.4,85.0,1.42,-4.3,2.5,1.0,1.5,18.8,-6,-5,1691.7
41,6i,Iron,04/15/2025 03:09:27,118.6,3.0,18.5,4416,542,4449,171.4,185.6,21.4,31.4,45.5,84.4,85.0,1.39,-3.3,2.0,3.7,0.9,22.8,8,-10,2199.5
42,6i,Iron,04/15/2025 03:09:55,116.3,-0.1,16.3,3859,0,3859,170.1,185.5,-0.4,26.0,40.9,84.3,85.0,1.37,-4.9,-0.4,-0.6,1.5,21.7,-4,-2,2200.2
43,6i,Iron,04/15/2025 03:10:18,114.1,2.5,16.5,5069,848,5139,159.5,172.6,22.1,25.9,42.7,83.1,85.0,1.37,-3.6,0.3,2.0,1.4,22.8,-7,-18,2733.2
44,6i,Iron,04/15/2025 03:10:56,116.3,0.9,16.9,4724,65,4724,169.2,183.3,4.3,28.8,44.0,84.1,85.0,1.39,-3.8,0.6,0.8,1.2,21.3,-12,-10,2287.5
45,6i,Iron,04/15/2025 03:11:20,114.1,3.9,19.4,5285,827,5349,161.3,174.5,26.5,31.6,46.9,83.7,82.8,1.37,-2.9,0.4,3.5,2.1,25.5,8,-14,2278.5
46,6i,Iron,04/15/2025 03:11:39,120.8,1.5,17.0,4425,200,4430,176.8,191.2,9.8,30.8,44.6,86.2,85.0,1.4,-4.5,0.6,2.6,1.0,21.8,7,-8,1887.1
47,6i,Iron,04/15/2025 03:12:14,118.6,0.7,16.7,4234,363,4250,175.2,190.4,10.7,29.1,43.4,84.2,85.0,1.41,-4.5,-0.1,2.2,0.8,21.1,3,-7,1736.8
48,6i,Iron,04/15/2025 03:12:37,118.6,0.8,16.1,4339,7,4339,175.2,189.4,2.9,28.6,43.0,83.9,82.8,1.42,-3.4,0.9,-0.8,2.2,20.7,5,-12,2546.3
49,5i,Iron,04/15/2025 03:13:14,114.1,1.4,4.8,3256,1375,3534,122.9,147.0,22.9,4.9,13.7,86.2,87.2,1.32,-4.3,0.2,3.0,2.0,19.2,10,-23,1789.3
50,5i,Iron,04/15/2025 03:13:33,114.1,-0.1,12.2,3183,272,3195,166.3,184.8,6.4,17.7,31.6,85.2,85.0,1.35,-5.2,-0.6,-0.1,1.4,17.1,5,4,2006.8
51,5i,Iron,04/15/2025 03:13:58,125.3,2.1,13.3,3847,147,3850,185.6,201.9,11.3,25.3,39.3,86.4,87.2,1.44,-3.2,3.2,2.8,1.5,17.4,5,-9,1491.8
52,5i,Iron,04/15/2025 03:14:23,120.8,-0.6,12.0,3420,-179,3425,180.5,198.2,-6.8,20.8,34.8,86.7,85.0,1.4,-3.6,1.5,-0.4,2.3,16.2,18,-4,1687.4
53,5i,Iron,04/15/2025 03:14:53,120.8,3.9,16.0,4781,1139,4915,172.9,187.2,35.9,28.8,43.9,86.7,87.2,1.39,-5.0,-0.6,5.6,1.2,20.6,-1,-8,1460.9
54,5i,Iron,04/15/2025 03:15:15,107.4,-0.3,12.2,2116,-350,2145,148.3,171.8,-10.3,12.5,24.2,83.8,85.0,1.28,-2.8,1.0,-1.0,1.6,18.6,-13,5,2117.5
55,5i,Iron,04/15/2025 03:15:35,96.2,13.8,0.0,1289,3786,3999,2.8,100.0,25.4,0.0,0.0,85.3,82.8,1.13,-2.6,1.7,1.0,1.0,18.5,31,-18,1632.0
56,5i,Iron,04/15/2025 03:16:03,125.3,-0.8,12.7,3746,163,3750,186.1,202.4,1.6,24.1,38.1,86.3,85.0,1.44,-4.8,0.2,-0.2,1.1,16.6,6,-5,1873.0
57,5i,Iron,04/15/2025 03:16:27,123.0,1.2,14.1,3921,377,3939,183.4,199.3,14.1,26.3,40.3,86.7,87.2,1.42,-4.2,0.2,2.4,2.2,17.9,12,-5,1523.1
58,5i,Iron,04/15/2025 03:16:55,123.0,-1.0,13.6,3421,-444,3450,184.8,202.2,-16.2,24.2,37.9,85.7,87.2,1.43,-2.7,1.3,-0.8,1.2,17.4,-10,-6,1690.2
59,4h,Hybrid,04/15/2025 03:19:43,125.3,-2.3,10.8,4362,574,4400,179.6,195.1,4.9,21.4,36.7,90.0,89.5,1.39,-2.7,0.6,1.5,2.1,19.5,16,-7,1903.8
60,4h,Hybrid,04/15/2025 03:20:09,127.5,-2.3,12.3,3206,-151,3210,194.6,213.1,-13.5,23.6,36.0,89.3,87.2,1.42,-2.0,1.1,0.3,2.0,19.5,13,0,1921.3
61,4h,Hybrid,04/15/2025 03:20:31,127.5,0.5,12.3,2458,-451,2499,198.4,220.0,-15.3,21.3,32.5,89.4,89.5,1.42,-2.1,2.2,0.9,0.7,21.8,-1,4,1851.7
62,4h,Hybrid,04/15/2025 03:20:54,118.6,-2.6,8.1,3889,1248,4084,154.1,172.2,15.0,12.0,25.6,91.0,89.5,1.29,-0.9,2.5,4.0,2.7,22.5,29,-12,1960.5
63,4h,Hybrid,04/15/2025 03:21:09,111.8,-2.6,15.3,4150,575,4190,161.3,176.1,3.3,22.9,39.1,88.8,87.2,1.27,-3.5,-0.2,1.5,0.9,23.9,24,4,1803.8
64,4h,Hybrid,04/15/2025 03:21:32,132.0,2.8,12.2,3895,478,3924,199.2,215.2,24.5,27.2,40.2,90.9,91.7,1.45,-3.1,2.3,5.0,2.1,21.5,3,-4,1850.4
65,4h,Hybrid,04/15/2025 03:21:58,129.7,-4.1,10.0,3380,-177,3385,193.9,210.3,-20.2,20.3,33.4,89.4,89.5,1.45,-2.3,0.3,-1.5,0.6,17.3,10,-5,2242.1
66,4h,Hybrid,04/15/2025 03:22:22,127.5,-0.6,10.3,3976,257,3984,187.5,204.2,4.5,21.3,35.7,88.6,87.2,1.44,-2.4,2.4,2.0,1.4,18.2,8,-6,2056.0
67,4h,Hybrid,04/15/2025 03:22:42,129.7,0.0,11.5,4030,197,4035,191.7,207.6,5.1,24.4,38.1,90.1,89.5,1.43,-2.7,2.1,3.1,1.5,19.3,13,-4,1888.2
68,4h,Hybrid,04/15/2025 03:23:06,127.5,0.2,13.8,2663,-102,2665,201.0,221.1,-3.2,25.1,36.3,90.0,89.5,1.41,-1.8,1.9,2.0,0.3,23.9,5,3,2089.1
69,4h,Hybrid,04/15/2025 03:23:29,125.3,-2.0,5.4,4476,352,4490,165.5,182.7,0.3,11.5,25.4,88.5,89.5,1.41,-2.4,2.1,1.1,1.4,18.7,6,-16,2064.0
70,4h,Hybrid,04/15/2025 03:23:51,127.5,-1.9,10.0,2701,-633,2774,189.6,211.3,-28.1,17.3,29.2,88.8,87.2,1.43,-3.4,1.9,0.4,-0.6,17.3,9,4,2164.5
71,4h,Hybrid,04/15/2025 03:24:21,129.7,1.7,12.8,2541,-657,2625,201.5,222.4,-18.3,22.9,34.2,88.6,89.5,1.46,-1.4,2.3,2.1,1.7,22.1,-4,2,1758.3
72,Dr,Driver,04/15/2025 03:25:11,138.7,-2.0,13.6,1232,-1067,1630,208.2,229.9,-56.1,18.7,26.3,97.5,96.2,1.42,3.7,3.3,-1.4,5.2,15.6,4,14,1604.0
73,Dr,Driver,04/15/2025 03:25:36,132.0,2.1,17.7,2294,-310,2315,223.8,245.4,-6.6,35.6,41.9,95.4,94.0,1.39,4.1,4.3,3.6,5.6,19.9,6,16,1629.4
74,Dr,Driver,04/15/2025 03:26:04,134.2,-3.6,13.9,1373,-1001,1699,207.2,227.2,-59.1,19.8,27.8,96.8,96.2,1.39,3.5,2.6,-2.0,4.6,16.2,11,13,1971.5
75,Dr,Driver,04/15/2025 03:26:44,138.7,2.4,14.8,3673,1067,3825,210.8,227.5,44.7,34.4,44.3,97.4,96.2,1.42,2.2,2.6,6.0,6.3,21.9,16,-4,1751.9
76,Dr,Driver,04/15/2025 03:27:08,134.2,0.8,17.5,2219,-475,2269,225.5,247.2,-21.0,35.0,41.4,97.1,96.2,1.38,3.0,2.6,0.8,5.2,18.2,-1,18,1903.5
77,Dr,Driver,04/15/2025 03:27:34,140.9,0.7,13.2,1625,-1104,1965,221.8,248.3,-51.7,22.1,30.1,97.5,98.4,1.45,3.8,3.4,-0.7,5.8,16.3,-4,9,1646.6
78,Dr,Driver,04/15/2025 03:28:42,120.8,5.4,27.7,5251,-635,5289,166.0,177.8,4.8,50.3,55.2,97.3,98.4,1.25,5.2,3.4,2.4,3.7,20.7,-21,28,1698.3
79,Dr,Driver,04/15/2025 03:29:27,140.9,4.2,12.5,2999,-41,2999,226.4,246.2,16.6,30.1,39.3,96.4,98.4,1.46,2.4,1.9,2.2,6.2,18.7,-11,-6,1859.9
80,Dr,Driver,04/15/2025 03:35:05,132.0,5.1,19.1,2871,135,2874,213.5,232.2,26.5,39.8,45.9,97.6,98.4,1.35,2.6,1.9,4.2,5.5,19.6,-12,19,1783.6
81,Dr,Driver,04/15/2025 03:36:39,136.5,0.0,14.7,2798,-97,2800,225.0,245.2,-4.4,33.2,41.3,94.7,94.0,1.45,4.6,1.2,0.6,6.7,21.4,5,-2,1965.9
82,Dr,Driver,04/15/2025 03:37:07,136.5,2.2,14.7,2082,-274,2100,232.8,256.1,-5.3,29.7,36.6,97.2,96.2,1.41,1.5,2.0,1.8,4.1,16.9,-5,15,1901.2
83,Dr,Driver,04/15/2025 03:37:33,138.7,-0.5,13.1,2009,7,2009,233.7,257.0,-2.0,26.1,33.7,97.7,96.2,1.42,0.5,0.9,0.6,4.3,15.6,3,13,2037.0
84,Dr,Driver,04/15/2025 03:37:56,140.9,-1.8,10.7,1316,-891,1589,206.2,240.2,-49.7,14.5,21.3,97.4,96.2,1.46,2.5,2.3,-1.6,5.7,14.2,3,8,1801.1
85,Dr,Driver,04/15/2025 03:38:59,140.9,-2.0,10.9,1920,-191,1929,228.2,254.2,-19.0,20.4,28.5,97.4,96.2,1.44,0.8,1.8,-0.3,4.6,14.6,5,9,1921.6
86,Dr,Driver,04/15/2025 03:39:23,140.9,1.8,13.2,2389,-221,2399,237.3,259.9,-3.4,30.0,37.6,97.6,96.2,1.45,4.2,4.9,3.1,7.2,19.1,6,1,1526.8
87,Dr,Driver,04/15/2025 03:39:53,136.5,-1.5,12.1,2844,415,2874,219.8,239.5,10.9,27.0,37.3,97.9,96.2,1.41,3.8,3.3,1.8,7.2,19.6,20,-5,1771.3
88,Dr,Driver,04/15/2025 03:40:15,132.0,-2.9,18.4,2691,-921,2844,210.0,229.3,-48.7,36.2,44.2,97.6,96.2,1.35,2.7,2.1,-1.2,4.9,16.5,6,22,1964.2
89,Dr,Driver,04/15/2025 03:40:36,138.7,4.2,16.2,2728,505,2774,229.6,250.7,41.8,37.3,43.5,98.7,98.4,1.41,2.6,3.8,6.3,5.7,20.4,5,9,1748.5
90,Dr,Driver,04/15/2025 03:40:56,140.9,1.7,12.0,2459,-12,2459,233.4,255.0,7.2,27.3,35.9,97.4,96.2,1.45,1.6,3.0,2.9,5.6,17.0,4,4,1860.4
91,PW,Wedge,04/15/2025 03:41:46,91.7,2.9,27.9,7549,-92,7550,113.9,122.5,5.6,28.2,50.1,77.0,76.1,1.18,-4.6,3.4,2.2,1.3,39.7,9,-7,2302.1
92,PW,Wedge,04/15/2025 03:42:10,89.5,0.1,25.9,8009,13,8009,113.2,121.6,0.3,25.8,48.4,79.8,78.3,1.13,-5.7,1.6,-0.2,2.2,38.2,12,-15,2231.3
93,9i,Iron,04/15/2025 03:42:35,98.4,0.7,21.5,6940,363,6949,128.8,138.3,5.2,25.2,45.7,81.5,82.8,1.21,-4.4,2.4,1.1,2.8,35.0,3,-23,2107.1
94,9i,Iron,04/15/2025 03:42:52,96.2,0.4,23.6,5776,-464,5795,125.9,136.3,-4.1,25.6,46.0,78.6,78.3,1.21,-4.0,0.8,-4.4,0.5,35.0,2,2,2885.5
95,9i,Iron,04/15/2025 03:43:11,100.7,3.2,25.0,7286,228,7290,131.7,141.0,10.3,31.8,50.3,81.7,82.8,1.24,-4.4,2.4,3.6,1.0,35.0,0,-15,1947.8
96,8i,Iron,04/15/2025 03:43:47,107.4,2.0,20.1,6445,428,6459,146.4,157.7,11.1,29.2,46.9,81.9,82.8,1.32,-5.4,1.1,2.8,1.3,28.7,3,-15,1883.5
97,8i,Iron,04/15/2025 03:44:08,105.1,-0.6,17.5,5673,-118,5674,143.7,155.5,-3.3,23.5,42.2,81.3,82.8,1.3,-5.0,1.8,-0.8,0.4,27.0,2,-22,1784.9
98,8i,Iron,04/15/2025 03:44:27,107.4,-1.4,19.3,5382,-489,5404,148.1,159.9,-11.0,26.9,44.6,80.7,80.5,1.33,-4.8,0.8,-2.6,-0.3,26.2,-1,-5,2316.4
99,7i,Iron,04/15/2025 03:46:52,107.4,-2.8,13.4,4531,-460,4554,148.8,163.4,-15.6,18.1,35.3,82.8,82.8,1.31,-4.4,1.4,-4.2,1.7,22.3,6,-21,1935.7
100,7i,Iron,04/15/2025 03:48:06,109.6,2.1,17.7,6079,499,6099,148.9,160.0,12.8,26.1,44.2,83.8,87.2,1.3,-3.5,1.4,0.5,1.4,26.9,-16,-18,2946.9
101,7i,Iron,04/15/2025 03:48:24,114.1,0.4,18.9,5264,-331,5274,161.6,174.8,-4.4,30.8,46.3,83.9,85.0,1.36,-3.1,1.8,-0.4,0.6,25.8,-7,-8,2150.5
102,7i,Iron,04/15/2025 03:48:48,111.8,3.3,18.3,5647,177,5650,154.3,167.0,12.4,28.0,45.0,82.1,85.0,1.35,-4.1,1.9,-0.1,1.4,25.6,-17,-10,3038.5
103,7i,Iron,04/15/2025 03:49:07,107.4,2.4,14.6,5544,947,5624,143.6,156.2,19.2,19.7,38.3,82.9,82.8,1.29,-4.3,2.1,3.0,0.8,27.0,2,-23,2450.3
104,6i,Iron,04/15/2025 03:49:36,114.1,0.5,15.2,4774,-75,4775,163.5,177.4,0.3,24.6,41.1,84.7,87.2,1.36,-2.6,2.2,-0.4,3.1,21.9,-9,-19,2242.6
105,6i,Iron,04/15/2025 03:49:58,114.1,1.0,14.6,5235,311,5244,159.1,172.3,8.4,23.5,40.6,82.7,87.2,1.38,-4.9,-1.6,-3.9,2.4,20.8,-20,-17,3662.1
106,6i,Iron,04/15/2025 03:50:16,116.3,0.3,16.7,3656,-159,3659,173.6,190.5,-3.1,27.0,41.0,83.0,82.8,1.4,-3.0,1.3,-1.5,1.7,22.8,-1,-3,2344.0
107,6i,Iron,04/15/2025 03:50:37,114.1,3.4,14.3,5203,694,5249,157.5,170.7,21.6,22.5,39.6,83.7,85.0,1.35,-5.2,0.8,1.2,2.8,21.7,-8,-20,3287.2
1,PW,Wedge,04/01/2025 02:45:24,89.5,2.9,28.2,8526,806,8564,109.2,116.5,313.5,27.6,50.3,80.2,80.5,1.11,-5.4,2.0,4.5,1.4,41.4,10,-13,2375.4
2,Dr,Driver,04/01/2025 02:45:41,91.7,-1.6,26.9,7688,-147,7689,115.3,123.9,-4.6,28.0,49.8,78.2,78.3,1.18,-5.0,-0.9,-2.6,0.2,38.4,-8,-5,2169.6
3,PW,Wedge,04/01/2025 02:46:12,91.7,1.4,28.2,8229,57,8229,114.9,122.6,3.6,30.1,51.5,79.8,80.5,1.16,-4.3,2.2,1.2,1.5,40.8,1,-10,2011.5
4,PW,Wedge,04/01/2025 02:46:34,94.0,2.7,28.3,8137,213,8140,115.5,123.4,7.7,30.4,51.6,80.4,80.5,1.16,-4.6,2.9,2.9,1.2,40.5,-2,-10,1724.2
5,PW,Wedge,04/01/2025 02:47:05,87.2,4.6,28.2,8332,934,8384,106.8,114.5,15.4,26.5,50.0,79.4,80.5,1.1,-5.2,1.7,4.3,0.4,42.7,-11,-3,2176.3
6,8i,Iron,04/01/2025 02:49:45,105.1,2.1,21.6,5674,-49,5674,143.0,155.0,5.1,29.4,47.2,79.9,80.5,1.31,-3.1,2.2,1.3,-1.6,31.0,-7,-9,2219.8
7,8i,Iron,04/01/2025 02:50:08,107.4,-1.8,18.9,5502,-433,5519,147.4,159.7,-11.4,26.7,44.6,82.4,82.8,1.3,-4.6,1.5,-1.4,0.4,26.7,6,-18,1770.2
8,8i,Iron,04/01/2025 02:50:28,100.7,1.8,19.6,5996,683,6035,132.1,142.9,12.2,23.2,43.4,80.0,80.5,1.24,-5.2,0.9,3.3,-0.3,28.8,13,-21,1889.4
9,8i,Iron,04/01/2025 02:50:51,100.7,1.2,19.9,6203,673,6239,134.4,144.8,10.7,24.5,44.1,81.2,80.5,1.24,-5.5,0.5,2.1,1.2,28.3,13,-19,2272.6
10,8i,Iron,04/01/2025 02:51:10,100.7,-0.2,20.9,6045,486,6065,132.8,143.6,5.0,25.2,45.1,81.0,80.5,1.23,-4.2,-0.1,1.5,0.8,30.1,17,-19,1989.1
11,8i,Iron,04/01/2025 02:51:39,109.6,-0.5,21.1,5609,-788,5664,150.8,162.7,-13.4,31.5,47.9,82.4,82.8,1.33,-3.2,2.0,-1.3,1.3,29.1,5,-7,2052.0
12,8i,Iron,04/01/2025 02:52:00,102.9,0.4,20.5,5086,-293,5094,142.8,154.5,-3.1,26.7,44.9,80.8,80.5,1.28,-3.3,2.0,-0.7,0.8,31.0,2,-3,1998.9
13,8i,Iron,04/01/2025 02:52:24,107.4,0.4,21.2,5946,207,5950,145.8,157.3,4.0,30.3,47.6,82.2,82.8,1.31,-4.2,1.3,1.6,0.4,29.1,9,-14,1829.3
14,8i,Iron,04/01/2025 02:52:45,109.6,0.0,20.5,5633,-433,5650,151.1,162.9,-6.5,30.6,47.0,81.8,82.8,1.34,-3.8,1.7,-0.7,0.5,28.1,4,-9,2262.8
15,8i,Iron,04/01/2025 02:53:07,109.6,-0.6,20.8,5721,-189,5724,149.1,161.0,-4.5,30.5,47.4,81.8,80.5,1.33,-3.6,1.4,-0.1,-0.2,27.7,8,-12,2109.2
16,8i,Iron,04/01/2025 02:53:34,109.6,2.7,21.6,6009,-62,6009,147.7,159.1,6.9,31.7,48.1,82.4,82.8,1.32,-4.0,2.4,2.7,-0.2,29.3,8,-13,2120.3
17,8i,Iron,04/01/2025 02:53:53,102.9,0.1,19.9,6146,732,6189,136.1,146.8,8.7,25.2,44.8,81.7,80.5,1.25,-4.6,0.3,1.7,0.2,28.7,11,-20,1966.1
18,8i,Iron,04/01/2025 02:54:13,100.7,2.0,17.1,6062,1090,6159,133.2,144.6,17.3,20.6,40.6,81.9,82.8,1.24,-5.9,1.3,4.0,0.9,28.8,9,-25,1722.4
19,8i,Iron,04/01/2025 02:54:31,105.1,-2.1,17.7,5421,-189,5424,142.3,154.1,-8.3,23.3,42.0,82.3,82.8,1.27,-3.5,1.8,-1.1,-0.4,27.7,6,-23,2459.2
20,8i,Iron,04/01/2025 02:54:51,107.4,-1.1,19.6,5873,-123,5874,144.9,155.9,-4.8,27.4,45.6,82.3,80.5,1.29,-5.1,1.1,-0.5,1.4,27.4,16,-14,2371.6
21,8i,Iron,04/01/2025 02:55:13,109.6,1.4,20.8,6113,138,6115,148.7,160.0,5.9,31.1,48.0,82.1,82.8,1.33,-4.4,1.9,2.0,0.1,29.1,3,-13,2044.8
22,3w,FW,04/01/2025 02:56:48,140.9,1.6,8.0,3448,102,3450,214.8,232.7,10.1,21.7,34.2,97.4,98.4,1.45,-2.1,1.3,2.5,-1.4,18.9,2,-9,2160.9
23,3w,FW,04/01/2025 02:57:27,132.0,-1.8,12.1,2683,296,2699,209.5,229.8,4.7,24.3,35.3,96.4,96.2,1.37,-2.7,-1.0,0.9,-2.1,23.1,8,4,1907.1
24,3w,FW,04/01/2025 02:57:53,140.9,-2.4,6.0,3189,27,3189,207.1,227.8,-8.9,15.7,27.7,96.2,96.2,1.46,-3.4,-0.3,-0.5,-1.9,17.0,6,-8,2184.8
25,3w,FW,04/01/2025 02:58:15,138.7,-3.2,9.6,2406,-368,2434,216.4,239.4,-29.6,19.6,29.8,96.7,96.2,1.43,-0.9,1.2,-0.7,-1.8,17.7,12,0,1966.2
26,3w,FW,04/01/2025 02:58:39,134.2,1.0,7.4,3961,995,4084,189.4,207.1,29.2,17.5,31.8,95.6,94.0,1.4,-1.9,2.6,6.2,-0.7,21.1,17,-13,1878.2
27,3w,FW,04/01/2025 02:58:58,140.9,0.4,8.6,2674,-56,2675,220.9,242.3,-0.6,20.0,30.6,96.9,96.2,1.46,-2.7,0.7,1.6,-2.7,17.2,1,-3,1773.4
28,3w,FW,04/01/2025 02:59:27,129.7,-2.4,11.3,1565,-1032,1875,183.6,211.9,-48.6,14.3,23.5,94.9,94.0,1.36,-1.2,3.1,-2.0,-1.4,25.5,8,4,1873.4
29,3w,FW,04/01/2025 02:59:42,76.1,-11.5,13.1,11282,1405,11369,77.2,83.8,-13.9,7.3,27.0,95.3,94.0,0.79,-2.8,2.4,5.9,-1.0,20.4,41,-55,1930.4
30,3w,FW,04/01/2025 03:00:05,76.1,-11.5,13.1,11282,1405,11369,6.6,83.8,0.6,7.3,2.9,96.8,96.2,1.41,-1.7,3.2,4.4,-0.2,19.9,11,-18,2168.6
31,3w,FW,04/01/2025 03:00:30,129.7,-0.2,13.4,2118,-267,2135,210.7,233.1,-13.2,23.7,33.3,94.5,94.0,1.37,0.0,1.0,1.0,-1.3,27.5,7,2,1209.5
32,3w,FW,04/01/2025 03:00:52,134.2,-1.0,6.0,3274,-62,3275,194.2,214.8,-5.7,14.1,26.1,95.0,94.0,1.42,-0.4,3.4,1.6,-1.3,19.7,9,-14,2153.9
33,3w,FW,04/01/2025 03:01:17,129.7,3.2,9.7,1367,-831,1600,174.2,206.4,-19.8,10.8,18.5,95.3,96.2,1.36,-2.8,1.3,-0.7,-2.1,21.4,-13,6,2101.1
34,3w,FW,04/01/2025 03:01:38,138.7,1.1,9.3,3133,-323,3150,215.0,233.9,-7.7,22.6,34.4,95.6,96.2,1.46,-1.7,2.0,1.7,-1.3,19.5,3,-6,2219.2
35,3w,FW,04/01/2025 03:01:57,138.7,1.1,9.3,3133,-323,3150,1.3,233.9,-14.0,22.6,1.0,97.1,96.2,1.36,-0.8,3.3,5.2,-1.1,21.4,24,-21,2080.1
36,3w,FW,04/01/2025 03:02:16,138.7,-1.2,7.8,2899,-40,2899,211.4,232.5,-6.6,18.2,29.7,96.6,96.2,1.44,-2.6,2.0,1.3,-1.1,18.4,13,-5,2208.6
37,3w,FW,04/01/2025 03:02:39,136.5,0.1,9.1,3073,-107,3075,208.6,228.3,-3.5,20.7,32.8,96.0,96.2,1.42,-0.5,3.9,3.9,-1.7,20.3,13,-9,1941.1
38,3w,FW,04/01/2025 03:03:04,134.2,1.9,9.7,1326,-848,1574,183.3,217.7,-27.5,11.3,18.6,96.1,96.2,1.4,-2.4,1.6,-1.8,-1.5,22.7,-6,3,2330.2
39,3w,FW,04/01/2025 03:03:26,136.5,3.6,11.4,3749,26,3749,210.1,227.7,15.4,28.2,40.3,95.1,96.2,1.45,-0.5,1.4,3.2,-1.5,22.3,-2,-8,1989.6
40,3w,FW,04/01/2025 03:03:47,132.0,-5.0,8.1,2618,-187,2625,196.9,219.8,-26.1,15.4,26.4,96.8,94.0,1.37,-0.1,2.0,0.3,-0.7,18.1,23,-6,2060.3
41,5i,Iron,04/01/2025 03:04:26,116.3,3.2,15.1,3934,893,4034,168.9,184.6,30.3,24.4,39.9,85.7,85.0,1.36,-3.2,2.1,3.6,2.0,20.8,19,-9,2159.3
42,5i,Iron,04/01/2025 03:04:43,114.1,2.1,12.4,4105,812,4185,160.1,173.9,22.0,18.9,35.1,85.8,85.0,1.33,-2.7,1.8,3.0,2.9,20.3,10,-18,2211.2
43,5i,Iron,04/01/2025 03:05:01,114.1,1.9,13.7,3442,228,3450,167.5,184.6,11.8,20.7,35.7,83.5,82.8,1.38,-2.8,3.0,1.7,0.0,18.7,19,-8,2083.3
44,5i,Iron,04/01/2025 03:05:22,111.8,0.3,8.4,3138,-82,3139,147.1,167.9,0.8,10.4,22.9,85.4,85.0,1.31,-1.8,3.3,-0.6,3.9,18.5,13,-21,2210.8
45,5i,Iron,04/01/2025 03:05:45,120.8,1.2,15.2,3781,-251,3789,179.0,194.6,-2.2,26.9,41.0,84.9,85.0,1.42,-2.3,2.5,0.9,1.2,19.6,-10,-8,2197.9
46,5i,Iron,04/01/2025 03:06:05,118.6,1.2,14.0,4196,168,4199,173.8,188.7,7.8,24.7,40.0,86.3,87.2,1.38,-2.7,2.1,1.6,2.3,19.4,1,-15,1879.5
47,5i,Iron,04/01/2025 03:06:25,123.0,1.4,15.7,3630,260,3639,184.6,200.6,12.3,28.6,41.9,86.4,85.0,1.42,-2.9,1.2,0.8,2.8,20.0,6,-3,2417.7
48,9i,Iron,04/01/2025 03:06:59,89.5,1.3,24.3,5691,-308,5699,113.5,124.1,0.2,22.4,44.6,77.6,80.5,1.14,-2.7,2.3,-2.0,0.6,37.1,-20,-1,2204.9
49,9i,Iron,04/01/2025 03:07:19,100.7,-0.1,24.9,6243,-458,6260,132.2,142.7,-5.4,30.8,49.5,80.8,80.5,1.24,-2.8,2.9,-0.2,0.2,34.1,12,-14,2379.3
